STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-01-01,0.0,",,I",11.7,"H,,S",19.1,",,G",5.6,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-01-02,0.0,",,I",10.7,"H,,S",20.7,",,G",3.1,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-01-07,0.0,",,I",10.0,"H,,S",18.7,",,G",2.2,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-01-09,0.0,",,I",11.2,"H,,S",20.8,",,G",2.1,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-01-10,0.0,",,I",11.7,"H,,S",21.6,",,G",2.8,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-01-11,0.0,",,I",12.8,"H,,S",20.2,",,G",4.4,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-01-12,0.0,",,I",13.6,"H,,S",18.4,",,G",8.9,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-01-16,0.0,",,I",12.5,"H,,S",21.5,",,G",2.3,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-01-18,0.0,",,I",14.0,"H,,S",22.1,",,G",5.8,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-01-20,0.0,",,I",14.4,"H,,S",23.4,",,G",8.3,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-01-21,0.0,",,I",14.8,"H,,S",21.4,",,G",9.3,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-01-22,0.0,",,I",14.3,"H,,S",23.3,",,G",8.6,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-01-25,0.0,",,I",11.1,"H,,S",19.0,",,G",5.2,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-01-26,0.0,",,I",11.4,"H,,S",18.6,",,G",5.2,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-01-27,0.0,",,I",11.9,"H,,S",19.5,",,G",5.5,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-01-30,0.0,",,I",13.9,"H,,S",21.3,",,G",6.4,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-02-03,0.0,",,I",11.2,"H,,S",17.0,",,G",6.2,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-02-05,0.0,",,I",11.2,"H,,S",19.0,",,G",4.1,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-02-08,0.0,",,I",10.3,"H,,S",21.0,",,G",0.8,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-02-10,0.0,",,I",13.5,"H,,S",22.7,",,G",4.0,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-02-11,0.0,",,I",14.0,"H,,S",22.7,",,G",4.9,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-02-13,0.0,",,I",15.8,"H,,S",24.1,",,G",8.8,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-02-14,0.0,",,I",15.4,"H,,S",24.2,",,G",8.3,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-02-15,0.0,",,I",18.8,"H,,S",26.2,",,G",10.9,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-02-16,0.0,",,I",16.2,"H,,S",28.0,",,G",10.7,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-02-18,0.0,",,I",19.0,"H,,S",25.8,",,G",12.7,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-02-19,0.0,",,I",18.8,"H,,S",28.3,",,G",8.6,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-02-20,0.0,",,I",21.2,"H,,S",28.0,",,G",10.6,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-02-22,0.0,",,I",19.3,"H,,S",27.5,",,G",11.4,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-02-25,0.0,",,I",20.6,"H,,S",27.4,",,G",11.9,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-02-27,0.0,",,I",18.2,"H,,S",26.8,",,G",10.8,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-02-29,0.0,",,I",18.8,"H,,S",24.6,",,G",12.2,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-03-02,0.0,",,I",16.2,"H,,S",24.6,",,G",8.2,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-03-04,0.0,",,I",16.0,"H,,S",24.9,",,G",8.9,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-03-05,0.0,",,I",13.8,"H,,S",24.9,",,G",8.4,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-03-06,0.0,",,I",16.8,"H,,S",24.5,",,G",9.0,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-03-07,0.0,",,I",15.8,"H,,S",24.7,",,G",6.8,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-03-08,0.0,",,I",15.6,"H,,S",23.9,",,G",5.3,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-03-10,0.0,",,I",16.7,"H,,S",25.4,",,G",8.8,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-03-12,0.0,",,I",17.5,"H,,S",26.1,",,G",9.8,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-03-19,0.0,",,I",20.3,"H,,S",26.9,",,G",14.2,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-03-20,0.0,",,I",19.6,"H,,S",26.8,",,G",10.3,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-03-21,0.0,",,I",19.0,"H,,S",27.3,",,G",10.5,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-03-22,0.0,",,I",20.1,"H,,S",27.1,",,G",11.3,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-03-25,0.0,",,I",17.3,"H,,S",23.5,",,G",10.9,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-03-27,0.0,",,I",15.3,"H,,S",25.0,",,G",11.6,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-03-29,0.0,",,I",17.9,"H,,S",26.0,",,G",8.7,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-03-30,0.0,",,I",19.0,"H,,S",29.0,",,G",8.2,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-04-12,0.0,",,I",21.5,"H,,S",26.7,",,G",16.9,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-04-17,0.0,",,I",17.3,"H,,S",24.6,",,G",7.3,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-04-22,0.0,",,I",23.1,"H,,S",29.8,",,G",15.4,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-04-25,0.0,",,I",20.2,"H,,S",27.2,",,G",11.6,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-04-30,0.0,",,I",18.8,"H,,S",29.0,",,G",9.0,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-05-12,0.0,",,I",25.6,"H,,S",32.6,",,G",16.7,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-05-20,0.0,",,I",27.1,"H,,S",33.7,",,G",18.4,",,G"
AG000060680,"TAMANRASSET, AG",22.8,5.4331,1362.0,1960-05-22,0.0,",,I",27.1,"H,,S",33.2,",,G",19.6,",,G"
