STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2020-10-29,0.0,",,S",,,13.4,"H,,S",23.3,",,S",4.1,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2021-01-08,0.0,",,S",,,15.1,"H,,S",19.4,",,S",9.6,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2021-01-24,0.0,",,S",,,9.4,"H,,S",13.6,",,S",4.9,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2021-05-18,0.0,",,S",,,20.2,"H,,S",29.5,",,S",12.0,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2021-08-10,0.0,",,S",,,34.3,"H,,S",41.2,",,S",27.5,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2022-04-07,1.0,",,S",,,9.6,"H,,S",16.1,",,S",3.4,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2022-04-10,0.0,",,S",,,14.7,"H,,S",25.1,",,S",4.6,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2022-04-11,0.0,",,S",,,17.8,"H,,S",25.7,",,S",9.9,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2022-04-14,10.9,",,S",,,8.3,"H,,S",10.1,",,S",6.3,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2022-04-15,17.0,",,S",,,9.3,"H,,S",12.8,",,S",7.4,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2022-04-17,0.0,",,S",,,12.7,"H,,S",20.0,",,S",4.4,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2022-04-18,0.0,",,S",,,13.9,"H,,S",21.9,",,S",4.4,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2022-04-21,5.1,",,S",,,7.8,"H,,S",12.1,",,S",4.5,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2022-04-22,1.0,",,S",,,12.2,"H,,S",20.5,",,S",2.4,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2022-04-24,0.0,",,S",,,10.6,"H,,S",17.3,",,S",2.6,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2022-04-26,0.0,",,S",,,15.9,"H,,S",23.7,",,S",8.9,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2022-04-28,5.1,",,S",,,10.2,"H,,S",14.1,",,S",7.8,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2022-04-29,0.0,",,S",,,10.4,"H,,S",14.1,",,S",8.7,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2022-05-02,0.0,",,S",,,15.4,"H,,S",21.5,",,S",9.4,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2022-05-03,2.0,",,S",,,13.8,"H,,S",18.9,",,S",8.3,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2022-05-06,14.0,",,S",,,11.3,"H,,S",17.6,",,S",4.9,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2022-05-07,0.3,",,S",,,13.1,"H,,S",19.0,",,S",7.0,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2022-05-09,0.0,",,S",,,14.4,"H,,S",22.3,",,S",6.1,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2022-05-10,0.0,",,S",,,14.0,"H,,S",21.0,",,S",6.0,",,S"
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1,2022-05-11,0.0,",,S",,,15.2,"H,,S",23.5,",,S",5.0,",,S"
AGM00060555,"SIDI MAHDI, AG",33.068,6.089,85.0,2020-10-29,0.0,",,S",,,16.7,"H,,S",24.5,",,S",9.0,",,S"
