STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-01,0.5,",,S",,,10.9,"H,,S",19.4,",,S",4.5,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-01-21,2.0,",,S",,,8.3,"H,,S",14.1,",,S",2.7,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-16,0.3,",,S",,,14.7,"H,,S",24.2,",,S",11.0,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-02-17,0.3,",,S",,,14.3,"H,,S",19.6,",,S",11.6,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-01,0.3,",,S",,,14.8,"H,,S",22.6,",,S",7.5,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-03-23,2.0,",,S",,,12.9,"H,,S",19.4,",,S",5.0,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-04-16,0.0,",,S",,,17.3,"H,,S",26.7,",,S",9.0,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-04-23,0.0,",,S",,,16.4,"H,,S",20.6,",,S",13.0,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-07-25,0.5,",,S",,,24.6,"H,,S",30.7,",,S",20.2,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-10-01,0.3,",,S",,,19.9,"H,,S",25.0,",,S",15.3,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2020-11-30,1.0,",,S",,,16.8,"H,,S",23.1,",,S",11.7,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2021-03-05,2.0,",,S",,,13.3,"H,,S",18.1,",,S",10.0,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2021-07-03,0.0,",,S",,,22.2,"H,,S",29.2,",,S",17.0,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2021-09-12,0.0,",,S",,,24.8,"H,,S",37.2,",,S",15.4,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2021-10-13,0.0,",,S",,,19.0,"H,,S",26.4,",,S",12.5,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2021-10-29,0.0,",,S",,,18.2,"H,,S",26.5,",,S",13.0,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2021-10-30,0.0,",,S",,,17.9,"H,,S",28.1,",,S",10.5,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2021-12-18,0.3,",,S",,,11.9,"H,,S",23.1,",,S",3.9,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2022-02-16,0.0,",,S",,,11.1,"H,,S",19.7,",,S",2.7,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2022-03-29,6.1,",,S",,,14.6,"H,,S",17.4,",,S",12.8,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2022-04-08,0.0,",,S",,,15.1,"H,,S",20.1,",,S",10.5,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2022-04-13,0.5,",,S",,,15.1,"H,,S",19.8,",,S",10.6,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2022-04-14,0.0,",,S",,,15.5,"H,,S",22.2,",,S",8.4,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2022-04-15,0.3,",,S",,,18.3,"H,,S",25.5,",,S",10.8,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2022-04-21,1.0,",,S",,,13.1,"H,,S",19.4,",,S",5.9,",,S"
MO000060156,"NOUASSEUR, MO",33.367,-7.583,206.0,2022-04-22,0.0,",,S",,,14.6,"H,,S",22.9,",,S",5.8,",,S"
