STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
TS000060765,"GABES, TS",33.88,10.1,4.0,1982-01-16,0.3,",,I",,,12.7,"H,,S",17.9,",,I",9.4,",,I"
TS000060765,"GABES, TS",33.88,10.1,4.0,1982-01-19,0.0,",,I",,,14.8,"H,,S",18.2,",,I",10.5,",,I"
TS000060765,"GABES, TS",33.88,10.1,4.0,1982-01-26,14.0,",,I",,,9.7,"H,,S",13.8,",,I",7.3,",,I"
TS000060765,"GABES, TS",33.88,10.1,4.0,1982-01-27,8.9,",,I",,,10.9,"H,,S",14.4,",,I",7.4,",,I"
TS000060765,"GABES, TS",33.88,10.1,4.0,1982-01-28,0.0,",,I",,,11.1,"H,,S",16.1,",,I",7.4,",,I"
TS000060765,"GABES, TS",33.88,10.1,4.0,1982-02-09,0.0,",,I",,,13.7,"H,,S",20.7,",,I",10.2,",,I"
TS000060765,"GABES, TS",33.88,10.1,4.0,1982-02-10,0.0,",,I",,,12.0,"H,,S",15.9,",,I",6.4,",,I"
TS000060765,"GABES, TS",33.88,10.1,4.0,1982-02-11,0.0,",,I",,,12.7,"H,,S",15.2,",,I",10.0,",,I"
TS000060765,"GABES, TS",33.88,10.1,4.0,1982-02-12,0.0,",,I",,,12.6,"H,,S",16.2,",,I",8.5,",,I"
TS000060765,"GABES, TS",33.88,10.1,4.0,1982-02-13,0.0,",,I",,,12.7,"H,,S",18.1,",,I",6.8,",,I"
TS000060765,"GABES, TS",33.88,10.1,4.0,1982-02-14,0.0,",,I",,,13.8,"H,,S",21.1,",,I",8.0,",,I"
TS000060765,"GABES, TS",33.88,10.1,4.0,1982-02-16,0.0,",,I",,,17.8,"H,,S",25.7,",,I",10.8,",,I"
