STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
TS000060765,"GABES, TS",33.88,10.1,4.0,2020-01-06,0.0,",,S",11.7,"H,,S",16.8,",,S",7.0,",,S"
TS000060765,"GABES, TS",33.88,10.1,4.0,2020-03-27,0.0,",,S",16.4,"H,,S",24.5,",,S",8.6,",,S"
TS000060765,"GABES, TS",33.88,10.1,4.0,2020-08-04,0.0,",,S",33.8,"H,,S",40.1,",,S",28.4,",,S"
TS000060765,"GABES, TS",33.88,10.1,4.0,2020-12-11,3.0,",,S",14.7,"H,,S",19.3,",,S",9.9,",,S"
TS000060765,"GABES, TS",33.88,10.1,4.0,2021-01-07,0.0,",,S",16.4,"H,,S",25.7,",,S",8.2,",,S"
TS000060765,"GABES, TS",33.88,10.1,4.0,2021-02-07,0.0,",,S",21.3,"H,,S",25.7,",,S",15.0,",,S"
TS000060765,"GABES, TS",33.88,10.1,4.0,2021-05-01,0.0,",,S",27.6,"H,,S",33.6,",,S",21.8,",,S"
TS000060765,"GABES, TS",33.88,10.1,4.0,2022-01-14,6.1,",,S",10.3,"H,,S",12.8,",,S",7.9,",,S"
TS000060765,"GABES, TS",33.88,10.1,4.0,2022-03-30,0.0,",,S",24.9,"H,,S",31.3,",,S",18.7,",,S"
TS000060765,"GABES, TS",33.88,10.1,4.0,2022-04-20,0.0,",,S",25.9,"H,,S",35.6,",,S",15.9,",,S"
TS000060765,"GABES, TS",33.88,10.1,4.0,2022-05-05,0.0,",,S",28.8,"H,,S",36.9,",,S",20.6,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-01-04,0.0,",,S",6.9,"H,,S",15.4,",,S",-1.2,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-01-05,0.0,",,S",9.9,"H,,S",16.2,",,S",2.5,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-01-11,0.0,",,S",9.1,"H,,S",13.8,",,S",6.8,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-01-13,0.5,",,S",10.0,"H,,S",14.5,",,S",5.3,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-01-14,0.0,",,S",10.1,"H,,S",15.4,",,S",6.1,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-01-15,0.0,",,S",8.4,"H,,S",15.3,",,S",0.9,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-01-16,0.0,",,S",8.4,"H,,S",16.6,",,S",1.5,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-01-17,0.0,",,S",7.3,"H,,S",15.6,",,S",0.3,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-01-23,0.0,",,S",13.4,"H,,S",20.5,",,S",8.9,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-01-26,0.0,",,S",11.8,"H,,S",20.4,",,S",3.4,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-01-29,0.0,",,S",11.9,"H,,S",20.4,",,S",4.0,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-01-30,0.0,",,S",13.8,"H,,S",22.4,",,S",5.8,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-02-02,0.0,",,S",14.9,"H,,S",23.6,",,S",7.9,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-02-03,0.0,",,S",15.3,"H,,S",23.5,",,S",7.2,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-02-04,0.0,",,S",17.1,"H,,S",26.0,",,S",9.6,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-02-07,0.0,",,S",8.2,"H,,S",14.3,",,S",-0.1,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-02-08,0.0,",,S",10.3,"H,,S",16.6,",,S",4.7,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-02-10,0.0,",,S",11.8,"H,,S",20.5,",,S",4.0,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-02-11,0.0,",,S",12.7,"H,,S",21.2,",,S",3.5,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-02-12,0.0,",,S",13.6,"H,,S",24.2,",,S",4.4,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-02-14,0.0,",,S",14.9,"H,,S",23.2,",,S",6.7,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-02-22,0.0,",,S",12.3,"H,,S",19.8,",,S",3.8,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-02-24,0.0,",,S",13.6,"H,,S",22.1,",,S",4.9,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-02-27,0.0,",,S",15.1,"H,,S",21.4,",,S",9.9,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-02-28,0.0,",,S",15.7,"H,,S",24.1,",,S",7.0,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-02-29,0.0,",,S",16.2,"H,,S",23.2,",,S",7.0,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-03-01,0.0,",,S",16.9,"H,,S",25.1,",,S",6.5,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-03-03,0.0,",,S",14.4,"H,,S",21.1,",,S",10.6,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-03-08,0.0,",,S",12.4,"H,,S",18.3,",,S",7.4,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-03-09,0.0,",,S",13.1,"H,,S",19.6,",,S",3.6,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-03-10,0.0,",,S",13.1,"H,,S",17.3,",,S",8.6,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-03-11,0.0,",,S",14.2,"H,,S",21.1,",,S",7.5,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-03-12,0.0,",,S",15.4,"H,,S",24.4,",,S",5.3,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-03-15,0.0,",,S",18.7,"H,,S",25.0,",,S",13.8,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-03-24,0.0,",,S",14.8,"H,,S",19.1,",,S",11.5,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-04-01,0.0,",,S",18.4,"H,,S",26.3,",,S",10.6,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-04-10,0.0,",,S",16.8,"H,,S",21.7,",,S",12.9,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-04-13,0.0,",,S",18.2,"H,,S",26.7,",,S",11.7,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-04-14,0.0,",,S",22.4,"H,,S",30.7,",,S",13.4,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-04-15,0.0,",,S",20.3,"H,,S",25.3,",,S",16.6,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-04-16,0.0,",,S",21.1,"H,,S",28.6,",,S",16.0,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-04-19,0.0,",,S",24.6,"H,,S",31.1,",,S",19.4,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-04-20,4.3,",,S",19.4,"H,,S",25.8,",,S",15.0,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-04-25,0.0,",,S",20.7,"H,,S",26.7,",,S",14.0,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-04-27,0.0,",,S",22.2,"H,,S",28.7,",,S",15.5,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-04-28,0.0,",,S",23.8,"H,,S",30.4,",,S",16.8,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-05-03,0.0,",,S",26.3,"H,,S",33.3,",,S",18.9,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-05-04,0.0,",,S",27.0,"H,,S",33.3,",,S",15.9,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-05-06,0.0,",,S",30.7,"H,,S",38.9,",,S",18.8,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-05-11,0.0,",,S",24.4,"H,,S",31.0,",,S",18.6,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-05-13,0.0,",,S",30.9,"H,,S",40.3,",,S",20.8,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-05-15,0.0,",,S",25.3,"H,,S",31.3,",,S",20.7,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-05-19,7.9,",,S",21.1,"H,,S",27.5,",,S",15.3,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-05-24,0.0,",,S",23.0,"H,,S",30.4,",,S",13.4,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-05-25,0.0,",,S",25.7,"H,,S",33.4,",,S",17.9,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-05-28,0.0,",,S",21.9,"H,,S",28.4,",,S",14.6,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-05-29,0.0,",,S",22.5,"H,,S",28.3,",,S",17.0,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-05-30,0.3,",,S",23.2,"H,,S",28.2,",,S",18.5,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-05-31,0.3,",,S",23.0,"H,,S",29.6,",,S",17.0,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-06-03,0.0,",,S",25.7,"H,,S",34.0,",,S",17.6,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-06-05,0.0,",,S",27.2,"H,,S",34.1,",,S",21.4,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-06-07,0.0,",,S",29.6,"H,,S",38.8,",,S",20.3,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-06-08,0.0,",,S",26.0,"H,,S",31.6,",,S",20.6,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-06-10,0.3,",,S",24.3,"H,,S",31.1,",,S",18.5,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-06-12,0.0,",,S",28.8,"H,,S",37.2,",,S",19.9,",,S"
TSM00060745,"GAFSA, TS",34.422,8.823,323.1,2020-06-14,0.0,",,S",26.4,"H,,S",33.8,",,S",20.5,",,S"
